,Age,C0.4,C1,C2.5,C5,C10,C25,C50,C75,C90,C95,C97.5,C99,C99.6
LThickness,3,2.574152,2.624302,2.676905,2.719161,2.764666,2.833491,2.900358,2.963871,3.022896,3.058803,3.090138,3.126665,3.159132
,5,2.535605,2.584207,2.635401,2.676679,2.721286,2.789067,2.8553,2.918391,2.977029,3.012714,3.043868,3.080203,3.112517
,10,2.440685,2.4856,2.533392,2.572288,2.614688,2.679871,2.744503,2.806533,2.864219,2.899366,2.930086,2.965966,2.997928
,15,2.351068,2.3925,2.43704,2.473634,2.513884,2.57652,2.639594,2.700644,2.757507,2.792216,2.822606,2.858168,2.889914
,20,2.282306,2.320883,2.362749,2.397459,2.435969,2.49662,2.55864,2.6192,2.67572,2.710297,2.740629,2.776201,2.808031
,30,2.207082,2.243482,2.283345,2.316691,2.354021,2.413599,2.475629,2.536619,2.593298,2.627901,2.658235,2.693803,2.725635
,40,2.154756,2.191654,2.232032,2.265801,2.303615,2.364054,2.4272,2.488978,2.545651,2.579948,2.609849,2.64473,2.675801
,50,2.104245,2.142618,2.184411,2.21922,2.258069,2.319936,2.384369,2.446841,2.503342,2.537198,2.566527,2.60054,2.630665
,60,2.049799,2.089755,2.133034,2.168907,2.208775,2.271953,2.337414,2.400362,2.456683,2.49018,2.519059,2.552399,2.581799
,70,2.012924,2.052998,2.096486,2.132599,2.172808,2.236691,2.303108,2.367075,2.424289,2.458313,2.487648,2.521518,2.551392
,80,1.965123,2.003093,2.04471,2.07959,2.118759,2.181696,2.248024,2.312699,2.371147,2.406167,2.436516,2.471732,2.502947
,90,1.903604,1.938798,1.977823,2.010887,2.048401,2.109517,2.175027,2.239956,2.299501,2.335567,2.367055,2.403861,2.436724
RThickness,3,2.60364,2.645351,2.69058,2.728032,2.769513,2.834628,2.900832,2.96564,3.026767,3.064423,3.097596,3.136649,3.171718
,5,2.559735,2.600985,2.645719,2.682767,2.723812,2.788277,2.853882,2.918072,2.978504,3.015686,3.048416,3.086922,3.121478
,10,2.453154,2.493277,2.5368,2.572861,2.612839,2.675709,2.73984,2.802511,2.861239,2.89726,2.92891,2.96608,2.999383
,15,2.355186,2.39429,2.436718,2.471886,2.510898,2.572327,2.635131,2.696428,2.7536,2.788559,2.819217,2.85516,2.887312
,20,2.279728,2.318159,2.359867,2.394452,2.432839,2.49336,2.555372,2.615819,2.671933,2.706139,2.736079,2.771121,2.802417
,30,2.198221,2.236449,2.27795,2.312388,2.350653,2.411125,2.473353,2.533846,2.589477,2.623178,2.652563,2.686836,2.717349
,40,2.144582,2.183089,2.224903,2.25962,2.298233,2.359392,2.422582,2.483833,2.539632,2.573223,2.6024,2.636313,2.666409
,50,2.096918,2.135829,2.178084,2.213184,2.252258,2.314273,2.378593,2.440751,2.49684,2.530392,2.559424,2.593052,2.6228
,60,2.048432,2.087754,2.130452,2.165931,2.205457,2.268309,2.333731,2.396752,2.453077,2.486557,2.515415,2.548725,2.578099
,70,2.009775,2.049728,2.093101,2.129146,2.169329,2.233336,2.300181,2.364356,2.421163,2.454713,2.48352,2.516656,2.545784
,80,1.958049,1.998406,2.042199,2.078595,2.119188,2.183949,2.251788,2.316684,2.373576,2.406959,2.435512,2.468242,2.496922
,90,1.889333,1.929758,1.9736,2.010031,2.050675,2.115606,2.183813,2.248815,2.305246,2.338145,2.366173,2.398191,2.426158
L_bankssts,3,2.412015,2.500207,2.593437,2.668649,2.749697,2.871556,2.987661,3.101111,3.214719,3.287343,3.352731,3.431192,3.502861
,5,2.365758,2.452031,2.543385,2.617209,2.696906,2.817072,2.932058,3.04444,3.156552,3.228059,3.292356,3.369422,3.439747
,10,2.252469,2.334069,2.420833,2.491249,2.567609,2.683559,2.79571,2.905382,3.013769,3.082512,3.144124,3.217765,3.284798
